,label,text,length,title,title_length,click_through,abandoned_cart,unsubscribed,open_rate,num_pics,num_videos,video_length,length_binned,title_length_binned,campaign_type,industry
0,0,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",20,"Go until jurong point, crazy",5,0,1,0,1,2,0,176,med,med,Promotional,Automotive
1,0,Ok lar... Joking wif u oni...,6,Ok lar,2,1,0,0,0,2,1,54,small,small,Abandoned_Cart,Hospitality
2,1,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,28,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005,16,0,0,1,1,2,3,21,big,bigger,Survey,Industrial
3,0,U dun say so early hor... U c already then say...,11,U dun say so early hor,6,1,0,0,1,0,1,8,med,med,Revenue_Based,Automotive
4,0,"Nah I don't think he goes to usf, he lives around here though",13,"Nah I don't think he goes to usf, he lives around here though",13,1,0,0,0,5,3,44,med,bigger,Promotional,Medical
5,1,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",32,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1",30,1,1,1,1,4,3,8,big,biggest,Abandoned_Cart,Real_Estate
6,0,Even my brother is not like to speak with me. They treat me like aids patent.,16,Even my brother is not like to speak with me,10,0,0,0,0,4,3,101,med,big,Revenue_Based,Automotive
7,0,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,26,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers,19,0,1,1,1,3,3,34,big,biggest,Survey,Real_Estate
8,1,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,26,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461,19,0,0,0,1,3,1,133,big,biggest,No_Opener,Real_Estate
9,1,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,29,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,29,0,0,0,0,3,3,157,big,biggest,Engagement_Campaign,Automotive
10,0,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",21,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today",21,0,0,1,1,1,1,93,big,biggest,Engagement_Campaign,Medical
11,1,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",26,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575",16,0,0,1,1,2,2,65,big,bigger,Engagement_Campaign,Real_Estate
12,1,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",26,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www",23,1,1,1,0,1,1,230,big,biggest,Survey,Automotive
13,0,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,37,I've been searching for the right words to thank you for this breather,13,0,0,1,0,5,2,175,big,bigger,Promotional,Hospitality
14,0,I HAVE A DATE ON SUNDAY WITH WILL!!,8,I HAVE A DATE ON SUNDAY WITH WILL!!,8,1,1,1,0,0,3,56,small,med,No_Opener,Automotive
15,1,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",19,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap",18,1,1,0,1,3,1,29,med,biggest,Promotional,Industrial
16,0,Oh k...i'm watching here:),4,Oh k,2,1,0,0,0,4,3,79,small,small,Promotional,Industrial
17,0,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,19,Eh u remember how 2 spell his name,8,1,1,1,1,4,0,17,med,med,Promotional,Industrial
18,0,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,13,Fine if thatåÕs the way u feel,7,0,1,0,1,2,1,202,med,med,No_Opener,Hospitality
19,1,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",24,England v Macedonia - dont miss the goals/team news,9,0,0,0,0,3,2,8,big,big,Engagement_Campaign,Medical
20,0,Is that seriously how you spell his name?,8,Is that seriously how you spell his name?,8,0,0,1,1,1,0,213,small,med,Promotional,Automotive
21,0,IÛ÷m going to try for 2 months ha ha only joking,11,IÛ÷m going to try for 2 months ha ha only joking,11,0,1,0,1,3,2,135,med,big,Survey,Industrial
22,0,So Ì_ pay first lar... Then when is da stock comin...,11,So Ì_ pay first lar,5,1,1,0,1,1,0,95,med,med,Promotional,Medical
23,0,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,20,Aft i finish my lunch then i go str down lor,11,1,1,1,0,4,0,161,med,big,No_Opener,Industrial
24,0,Ffffffffff. Alright no way I can meet up with you sooner?,11,Ffffffffff,1,1,0,0,0,0,1,168,med,small,Engagement_Campaign,Automotive
25,0,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,28,Just forced myself to eat a slice,7,1,0,0,0,4,2,223,big,med,Engagement_Campaign,Medical
26,0,Lol your always so convincing.,5,Lol your always so convincing,5,1,1,0,1,2,2,179,small,med,No_Opener,Real_Estate
27,0,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,32,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,32,1,0,0,1,4,0,70,big,biggest,Promotional,Hospitality
28,0,"I'm back &amp; we're packing the car now, I'll let you know if there's room",15,"I'm back &amp; we're packing the car now, I'll let you know if there's room",15,1,0,1,0,0,2,45,med,bigger,No_Opener,Industrial
29,0,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,12,Ahhh,1,0,1,0,1,4,1,18,med,small,Abandoned_Cart,Industrial
30,0,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",26,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",26,1,0,0,1,4,0,25,big,biggest,Abandoned_Cart,Medical
31,0,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,41,Yeah he got in at 2 and was v apologetic,10,0,1,0,1,0,0,97,biggest,big,Survey,Hospitality
32,0,K tell me anything about you.,6,K tell me anything about you,6,0,1,1,0,2,3,8,small,med,Abandoned_Cart,Hospitality
33,0,For fear of fainting with the of all that housework you just did? Quick have a cuppa,17,For fear of fainting with the of all that housework you just did? Quick have a cuppa,17,1,0,1,1,4,1,84,med,biggest,Engagement_Campaign,Hospitality
34,1,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,29,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO,20,1,0,0,1,2,2,102,big,biggest,Survey,Medical
35,0,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,28,Yup,1,0,0,0,0,2,3,1,big,small,Abandoned_Cart,Medical
36,0,"Oops, I'll let you know when my roommate's done",9,"Oops, I'll let you know when my roommate's done",9,0,1,0,0,5,1,44,small,big,Revenue_Based,Medical
37,0,I see the letter B on my car,8,I see the letter B on my car,8,1,0,0,1,2,2,211,small,med,Revenue_Based,Real_Estate
38,0,Anything lor... U decide...,4,Anything lor,2,1,0,1,1,3,1,38,small,small,Engagement_Campaign,Industrial
39,0,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,30,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo,21,0,0,1,1,5,1,60,big,biggest,Engagement_Campaign,Automotive
40,0,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,17,Pls go ahead with watts,5,1,1,0,0,4,3,40,med,med,No_Opener,Real_Estate
41,0,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",34,"Did I forget to tell you ? I want you , I need you, I crave you ",17,1,1,1,1,3,2,126,big,biggest,Engagement_Campaign,Industrial
42,1,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,33,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder,26,0,1,1,1,1,3,68,big,biggest,Abandoned_Cart,Industrial
43,0,WHO ARE YOU SEEING?,4,WHO ARE YOU SEEING?,4,1,1,1,0,4,1,193,small,small,Survey,Medical
44,0,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,13,Great! I hope you like your man well endowed,9,1,0,0,1,1,0,137,med,big,Promotional,Automotive
45,0,No calls..messages..missed calls,3,No calls,2,1,1,0,1,0,0,111,small,small,Abandoned_Cart,Medical
46,0,Didn't you get hep b immunisation in nigeria.,8,Didn't you get hep b immunisation in nigeria,8,1,0,0,1,1,3,128,small,med,No_Opener,Hospitality
47,0,"Fair enough, anything going on?",5,"Fair enough, anything going on?",5,0,1,1,0,2,2,18,small,med,Revenue_Based,Hospitality
48,0,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",14,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",14,1,1,0,1,5,3,160,med,bigger,Survey,Real_Estate
49,0,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,30,U don't know how stubborn I am,7,0,1,0,0,4,0,86,big,med,Revenue_Based,Industrial
50,0,What you thinked about me. First time you saw me in class.,12,What you thinked about me,5,1,0,0,0,4,2,53,med,med,Promotional,Real_Estate
51,0,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",23,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",23,1,1,1,0,3,1,155,big,biggest,Promotional,Industrial
52,0,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,16,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,16,0,1,0,1,3,1,32,med,bigger,No_Opener,Automotive
